Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Library Name,BioSampleModel,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Collection_Date,tissue,isolate,HOST,isolation_source,BREED,dev_stage,sex,lat_lon,AGE,collected_by,BIOMATERIAL_PROVIDER,aliquot,identified_by,replicate,strain,Other,Cultivar,env_broad_scale,env_local_scale,env_medium,ecotype,treatment,ExtendedName,isol_growth_condt,lab_identifier,altitude,Diet,fragment_length (exp),unique,source_name,tmp,Sample_name,sample_type,Developmental_Stage,GEO_Accession (exp),replicate_num,env_biome,specimen_voucher,temp,host_tissue_sampled,PHENOTYPE,common_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,Broker_name,ena_first_public,ena_last_update,Scientific_Name,Development_stage,Organism_part,SampleIdentifier,project_name,specimen_with_known_storage_state,mean_tethered_flight_distance,time_course_exposure,sampleID,cell_type,host_life_stage,Depth,genotype,store_cond,Birth_date,birth_location,breeding_history,breeding_method,cell_line,cell_subtype,culture_collection,death_date,disease,disease_stage,growth_protocol,health_state,stud_book_number,body_site,label,samp_mat_process,tissue_type,Authors,gender,barcoding_center,collecting_institution,elevation,GAL,GAL_sample_id,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),geographical_location,habitat,identifier_affiliation,lifestage,notes,Original_Collector,sample_collection_device_or_method,sample_derived_from,Sample_ID/FastQ_file_ID,specimen_id,tolid,biological_replicates,Control,agrochem_addition,ArrayExpress-SPECIES,ArrayExpress-STRAIN_OR_LINE,AssemblyName,biosample_accession,chem_administration,collection_method,cur_vegetation,ENA_first_public
SRR10345445,RNA-Seq,200,3809193000,PRJNA579505,SAMN13112871,2144330189,EMBRAPA GENETIC RESOURCES AND BIOTECHNOLOGY,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7055315,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Helicoverpa armigera,ILLUMINA,2020-10-20T00:00:00Z,HarmGutTobacco,SRP226969,2019-10-25T12:06:00Z,1,HAT2,Invertebrate,uncalculated,uncalculated,missing,missing,Gut,,Nicotiana benthamiana,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10345446,RNA-Seq,200,3708944600,PRJNA579505,SAMN13112870,2114815784,EMBRAPA GENETIC RESOURCES AND BIOTECHNOLOGY,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7055314,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Helicoverpa armigera,ILLUMINA,2020-10-20T00:00:00Z,HarmGutCotton,SRP226969,2019-10-25T12:06:00Z,1,HAC2,Invertebrate,uncalculated,uncalculated,missing,missing,Gut,,Gossypium hirsutum,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10345447,RNA-Seq,200,2126301800,PRJNA579505,SAMN13112869,1194916671,EMBRAPA GENETIC RESOURCES AND BIOTECHNOLOGY,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX7055313,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Helicoverpa armigera,ILLUMINA,2020-10-20T00:00:00Z,HarmGutSoybean,SRP226969,2019-10-25T12:02:00Z,1,HAS2,Invertebrate,uncalculated,uncalculated,missing,missing,Gut,,Glycine max,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10345448,RNA-Seq,200,3552700800,PRJNA579505,SAMN13112871,2004069627,EMBRAPA GENETIC RESOURCES AND BIOTECHNOLOGY,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX7055312,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Helicoverpa armigera,ILLUMINA,2020-10-20T00:00:00Z,HarmGutTobacco,SRP226969,2019-10-25T12:06:00Z,1,HAT1,Invertebrate,uncalculated,uncalculated,missing,missing,Gut,,Nicotiana benthamiana,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10345449,RNA-Seq,200,5153589800,PRJNA579505,SAMN13112870,2946305270,EMBRAPA GENETIC RESOURCES AND BIOTECHNOLOGY,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX7055311,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Helicoverpa armigera,ILLUMINA,2020-10-20T00:00:00Z,HarmGutCotton,SRP226969,2019-10-25T12:13:00Z,1,HAC1,Invertebrate,uncalculated,uncalculated,missing,missing,Gut,,Gossypium hirsutum,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10345450,RNA-Seq,200,3171249600,PRJNA579505,SAMN13112869,1807891738,EMBRAPA GENETIC RESOURCES AND BIOTECHNOLOGY,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7055310,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,Helicoverpa armigera,ILLUMINA,2020-10-20T00:00:00Z,HarmGutSoybean,SRP226969,2019-10-25T12:06:00Z,1,HAS1,Invertebrate,uncalculated,uncalculated,missing,missing,Gut,,Glycine max,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR098486,AMPLICON,370,1112487,PRJDB5943,SAMD00085558,601607,UT_COB,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",DRX091973,Illumina MiSeq,SINGLE,PCR,METAGENOMIC,insect metagenome,ILLUMINA,2019-07-12T00:00:00Z,SAMD00085558,DRP005266,2019-07-12T17:41:00Z,1,,MIMS.me.host-associated,Japan,Asia,Japan,6/10/2016,,,Helicoverpa armigera,,,,,missing,,,,,,,,,,missing,missing,gut,,,,,,,,,,,,Kuraishi-011.fastq,,,,,,,,,,,,,,,,,,,,,,,,,,Gut microbiota of a number of Drosophila mutant strains and insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR098487,AMPLICON,372,1118394,PRJDB5943,SAMD00085559,597436,UT_COB,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",DRX091974,Illumina MiSeq,SINGLE,PCR,METAGENOMIC,insect metagenome,ILLUMINA,2019-07-12T00:00:00Z,SAMD00085559,DRP005266,2019-07-12T17:40:00Z,1,,MIMS.me.host-associated,Japan,Asia,Japan,6/10/2016,,,Helicoverpa armigera,,,,,missing,,,,,,,,,,missing,missing,gut,,,,,,,,,,,,Kuraishi-012.fastq,,,,,,,,,,,,,,,,,,,,,,,,,,Gut microbiota of a number of Drosophila mutant strains and insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR098488,AMPLICON,365,1097356,PRJDB5943,SAMD00085560,594189,UT_COB,public,"sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",DRX091975,Illumina MiSeq,SINGLE,PCR,METAGENOMIC,insect metagenome,ILLUMINA,2019-07-12T00:00:00Z,SAMD00085560,DRP005266,2019-07-12T17:40:00Z,1,,MIMS.me.host-associated,Japan,Asia,Japan,6/10/2016,,,Helicoverpa armigera,,,,,missing,,,,,,,,,,missing,missing,gut,,,,,,,,,,,,Kuraishi-013.fastq,,,,,,,,,,,,,,,,,,,,,,,,,,Gut microbiota of a number of Drosophila mutant strains and insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR098489,AMPLICON,363,1089290,PRJDB5943,SAMD00085561,586877,UT_COB,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",DRX091976,Illumina MiSeq,SINGLE,PCR,METAGENOMIC,insect metagenome,ILLUMINA,2019-07-12T00:00:00Z,SAMD00085561,DRP005266,2019-07-12T17:39:00Z,1,,MIMS.me.host-associated,Japan,Asia,Japan,6/10/2016,,,Helicoverpa armigera,,,,,missing,,,,,,,,,,missing,missing,gut,,,,,,,,,,,,Kuraishi-014.fastq,,,,,,,,,,,,,,,,,,,,,,,,,,Gut microbiota of a number of Drosophila mutant strains and insects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
